epoch,step,train_loss,val_loss
0,49,0.003031904576346278,
1,99,0.0022856565192341805,
1,101,,0.0022098643239587545
2,149,0.002244001952931285,
3,199,0.0012392874341458082,
3,203,,0.0016030768165364861
4,249,0.001029492705129087,
